Number,State,Value,Param bagging_temperature,Param border_count,Param depth,Param iterations,Param l2_leaf_reg,Param learning_rate,Param min_data_in_leaf,Param random_strength
0,FAIL,,0.9407539564158809,119,10,282,1.623586998716819e-06,0.0001128558430901145,42,2.2966336561480466e-07
1,COMPLETE,0.5559477422753598,0.9517533110961292,170,15,53,0.005861619445232469,0.0001008572917877791,87,0.002088883687456096
2,COMPLETE,0.6022663209179705,0.05976465246152485,73,13,382,2.397259447145758e-05,0.029687377597328042,57,0.08724998207363488
3,COMPLETE,0.5901909689699805,0.6888433639306595,169,13,1840,2.0241931433576527e-07,0.0001610119932985708,19,1.6938056608198824e-05
4,COMPLETE,0.6008188765545067,0.24120670793724974,244,12,412,1.3571720561080256e-05,9.825244564676409e-05,72,1.3732001373872815e-07
5,COMPLETE,0.59828515366804,0.22106287518361056,4,13,959,0.00420587205966873,0.25861322795808056,6,2.8737025958785156
6,COMPLETE,0.6176165853749707,0.770720748384343,160,11,784,0.016388455424853447,2.4951507963185873e-05,5,4.939162118940114e-07
7,COMPLETE,0.628897463923711,0.8263871753545636,242,8,1179,0.00010435079048779325,0.013862609028071647,47,1.4996182452118438e-05
8,COMPLETE,0.5691174353290844,0.6510166616483266,4,1,933,48.78004068292959,2.911861362342777e-05,25,0.001136641454765835
9,COMPLETE,0.6084838653609126,0.4479836993133044,171,1,807,1.3138704012101972,0.00017702718275323524,64,0.0027655752819061383
10,COMPLETE,0.6325787384613617,0.16078939168856043,127,4,585,0.525853835159861,0.0019128514374364758,40,0.006070652363028636
11,COMPLETE,0.6202775180985513,0.0040025295561206264,89,5,1484,0.7052000921365601,0.0014329078989013615,37,3.9513965057328035
12,COMPLETE,0.629559469124402,0.4507009371419829,255,7,1418,5.449504720614237e-05,0.005563685151161768,44,4.778989148811693e-06
13,COMPLETE,0.6298781429747906,0.443447689840411,104,5,1482,2.083719479084655e-07,0.0020821608621614906,38,1.167039865570235e-08
14,COMPLETE,0.6239811942561889,0.28455522415311885,106,4,1946,1.0744982378168348e-08,0.0008214478760945149,30,0.07753126718125934
15,COMPLETE,0.6407399619094585,0.35216910353711106,61,4,1472,5.568477071850401e-07,0.05352456540365358,74,6.4190660094813e-08
16,COMPLETE,0.6417449590960923,0.1174363922000991,48,3,547,0.10652883448902833,0.09993239528059926,97,0.0001884360088427319
17,COMPLETE,0.6396222243103253,0.30539602292041057,54,3,1173,0.0950529243322038,0.406246414332083,96,7.4960943975486e-05
18,COMPLETE,0.6439883182642697,0.10400728781112956,40,7,1751,67.01377440486787,0.09007364242302986,78,5.234898435540665e-07
19,COMPLETE,0.6339826995335975,0.11265088929330558,31,10,1777,8.06534244665677,0.14927578215480855,99,1.1634963013338292e-06
20,COMPLETE,0.6434038756810185,0.14660814505820507,36,7,301,97.51796264998427,0.09739525778342994,83,0.00011533426881481632
21,COMPLETE,0.6297497721543412,0.5818585702382943,31,7,138,39.038942619887145,0.9265761015523154,81,1.0113045292964183e-06
22,COMPLETE,0.6395908920492974,0.15687279118718017,26,9,283,7.314794477631485,0.06826820273844293,92,0.00017560903940981755
23,COMPLETE,0.6414822660760041,0.008239145736467945,47,6,545,61.868673915779624,0.013963727189894798,82,0.00014855789499829686
24,COMPLETE,0.6302540997429433,0.1134844736742241,80,9,598,0.06330101988821339,0.12370351947217181,70,0.012748295478812689
25,COMPLETE,0.6392562734323946,0.3581376921567324,39,2,221,6.121724896031514,0.8759640221752288,57,3.0750807265045604e-05
26,COMPLETE,0.6394009015917946,0.18433321415258808,20,7,711,0.00036957483578676305,0.0148727677715028,86,0.00042937004952033845
27,COMPLETE,0.6410621115653403,0.07105333752611304,66,6,428,0.1174068353776765,0.04700299492556498,78,4.208513696828763e-06
28,COMPLETE,0.6378513603538236,0.24694826426924732,141,3,1648,1.777667820862012,0.0049836996209945625,91,0.02458443712565715
29,COMPLETE,0.6313767688420594,0.34440340446778517,100,10,1210,14.380932296577798,0.31083886819100115,63,4.9069422880661164e-08
30,COMPLETE,0.6343528924660227,0.995037402380012,209,8,208,0.002406894485906359,0.1061969960410195,100,0.0006747692085211157
31,COMPLETE,0.6328647404545665,0.07582113912822908,13,16,1086,70.07337093093865,0.03142784630258297,86,0.4514385918861965
32,COMPLETE,0.6411069791059294,0.0065490180070273685,50,6,537,84.2602779404664,0.011853498703514804,83,0.00011762364063100481
33,COMPLETE,0.6406228383383361,0.009987729170859994,44,6,379,3.114932849808865,0.016952433673053397,91,5.889492645104247e-05
