Number,State,Value,Param bagging_fraction,Param bagging_freq,Param colsample_bytree,Param feature_fraction,Param learning_rate,Param max_bin,Param max_depth,Param min_child_samples,Param min_child_weight,Param min_split_gain,Param num_leaves,Param reg_alpha,Param reg_lambda,Param scale_pos_weight,Param subsample,UserAttribute best_iteration
0,COMPLETE,0.6435095180200189,0.800737079449386,5,0.6903704569820397,0.54376256495173,0.015560307636469446,65,16,93,6.651542765880482,0.13125812653458757,15,8.344946104411775,2.5672432148747992,6.347480954859749,0.9239624890181959,578
1,COMPLETE,0.6441879145192762,0.7158834173645399,8,0.7162277131751458,0.48536120816632555,0.01815749002408219,316,23,79,0.028532438722188518,0.12544831267803047,12,6.372083917022062,4.156814141085781,9.719422442348417,0.8495369702235177,651
2,COMPLETE,0.6453294254848602,0.7801691268821789,6,0.6366033354696776,0.49751333498533806,0.018768704766728875,313,20,85,0.016554904275766905,0.1015120858215274,19,7.661880863553119,0.06876298788891769,7.657434896895373,0.809546845565004,694
3,COMPLETE,0.6437544569257179,0.8090366647248194,5,0.9738194628041577,0.5125430952118615,0.016015600088971075,348,21,77,0.027723478762268768,0.10824446452934884,18,6.420689796583865,0.020581123369347462,6.41508191544538,0.8537767096071598,583
4,COMPLETE,0.6438311211206689,0.7713107392932198,5,0.7003692993197939,0.49078183648216117,0.016919122665254964,297,16,85,0.0013453285155284338,0.10827733162213624,13,8.17350519522876,0.05252362915515584,6.97280097399805,0.6191288977287324,788
5,COMPLETE,0.6435096894883268,0.6949937186639383,8,0.6082043726575603,0.5512179133713269,0.013687806406835083,354,22,83,0.3975441733089579,0.12281234711195091,13,9.371050310941182,8.675372125090792,1.098833590963963,0.76717906704104,657
6,COMPLETE,0.6445442828193699,0.7974447652781943,6,0.975426374097023,0.5123344788760611,0.013250119065209023,434,19,86,3.646690095476674,0.11207705006320505,13,9.379172426083887,0.004983729631275999,5.091406649738806,0.9039772208325713,683
7,COMPLETE,0.6443421073952309,0.8047596194860844,8,0.5365303856269066,0.4822827357760162,0.016357646076936593,343,17,76,0.18083733790741305,0.11038164708436568,13,8.801401507167245,0.8441390796750734,6.6312568200351665,0.9148236176161951,841
8,COMPLETE,0.6434210332285862,0.6722929660367115,8,0.9716532536565918,0.4886945558982231,0.01868981506590292,466,22,92,1.7089805636485942,0.13732907041870265,12,7.733781747961434,0.2887079926873105,1.0727121599941514,0.5954369581774419,644
9,COMPLETE,0.6439776193563027,0.8034434638212022,7,0.5869869381847679,0.5022732816612041,0.019665548051472977,208,21,105,0.001427348732271818,0.10394603067743076,17,8.52693718210986,0.09024882035927659,7.171798883452947,0.9068692705544944,407
10,COMPLETE,0.6443765046522639,0.7494809056168761,6,0.8386570798169136,0.4549721658190401,0.014548260168714262,195,19,107,0.01038616214228939,0.09815689770838285,19,7.268407482576456,0.004526502699386824,9.17168627283753,0.6970433745111434,577
11,COMPLETE,0.6448449810754716,0.7726213585458103,6,0.8447974770949593,0.5237185382846243,0.013284547739895333,480,19,88,9.449333637714446,0.1165035879912096,15,7.282280260098894,0.0010058977651126535,4.06497884949613,0.7873854982086199,750
12,COMPLETE,0.6447094175167281,0.7655677807855387,6,0.8412863111430872,0.5281557007247498,0.014709004931181602,511,19,99,0.6995196692018494,0.11702013603221531,16,7.158510394383374,0.0011810265492162336,3.950504919682174,0.7392045502662663,750
13,COMPLETE,0.6449907434262837,0.7774485671052981,7,0.8254491770661073,0.5271725088815675,0.01805678456642434,428,18,90,0.007789942887119325,0.09617831299771787,15,7.286209355427789,0.0010618059960314653,3.2335697934845418,0.9959671448773366,841
14,COMPLETE,0.645025890857164,0.7352168446241265,7,0.7674556669073691,0.4668127777806086,0.01762131017235664,423,18,99,0.006105353307931327,0.09706263573528336,16,7.672742692896871,0.01073892103869986,2.855621073553712,0.9861995137163228,790
15,COMPLETE,0.6449056451339338,0.7303563696312085,7,0.6458634249224229,0.4608475999383507,0.017257225371244023,239,24,114,0.006231326674916131,0.10191955006657867,19,7.803419921041662,0.019163897184881068,2.294123407454194,0.5320937775096948,591
16,COMPLETE,0.6442269842877015,0.7385337171624424,7,0.7556521861397496,0.4712577709652905,0.019111363310976997,400,20,98,0.042722432705814654,0.1429610155513299,17,6.874610773102025,0.27283188057027163,8.29899009484968,0.9869031386567196,741
17,COMPLETE,0.6443547317494063,0.7146240642826093,6,0.5060575051528899,0.4696942738263707,0.01759992953682827,149,17,102,0.0031993096023968373,0.10276369137712316,17,7.993966014042512,0.025543155982451035,5.231068140815845,0.6708210102030214,654
18,COMPLETE,0.6445382635673085,0.7548886097608402,7,0.7763481849400116,0.5010250467598374,0.019574632376193134,386,18,96,0.07581929791418114,0.0966226954098511,18,7.69135791870927,0.007209451705396611,8.189855967632708,0.8511370191736483,561
19,COMPLETE,0.643821297415524,0.7851837512107123,6,0.9069368353634145,0.4739713845760511,0.018339748921990192,265,20,81,0.01293214934981301,0.1027902862910556,16,8.86107853091673,0.25052528346009445,2.431071105654351,0.7915468377163084,523
20,COMPLETE,0.6438302959294366,0.7212791983223578,7,0.6442185558808701,0.4542546221056628,0.0166312296004446,398,18,114,0.0031667093683177545,0.11596686090553689,18,7.5892648830231355,0.047718924859176504,4.59743076078576,0.9508884179115483,573
21,COMPLETE,0.6441071422294464,0.7864414790561218,7,0.7847752205312504,0.5323989506823626,0.01768106872214219,421,18,90,0.012592181150565113,0.09712042892549376,14,6.799239898532521,0.0024595132862007063,3.0201606798014478,0.9859754966039401,615
22,COMPLETE,0.6445996420770539,0.7556471066422895,7,0.8084042163647832,0.5133362389712492,0.017956464278468923,456,17,89,0.0035966221117948336,0.10012383583212192,15,7.3733151510783825,0.010290005634013359,3.0439224288769156,0.9662273825762036,739
23,COMPLETE,0.6447614545759448,0.7819254766522653,7,0.9037980156100911,0.5394635752185465,0.019154648972862832,375,21,94,0.07707347061637117,0.1056584256804049,14,6.831898947484753,0.0019788064660842776,3.5126605022356117,0.8265625417650455,616
24,COMPLETE,0.6445465333409122,0.6992358323255625,6,0.8911262050482989,0.5193868789161235,0.018564386781610643,508,18,102,0.006527435472076053,0.09871980511932044,16,7.525070691363645,0.11452766632293213,2.045161312454915,0.9896134773383041,635
