Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param lambda_l2,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
0,COMPLETE,0.6402427288220994,0.7838609475230522,1,0.6746802803840612,4.745803997490313,8.385742136692095,0.07892507177067945,2,38,0.6264721169480522,553,32
1,COMPLETE,0.6085333053897147,0.4732969254349989,7,0.5876223763550175,8.792256607905045,8.525889566756888,0.06698245420849663,21,7,0.9426343752515811,433,126
2,COMPLETE,0.6408546777797564,0.6237736873908203,2,0.4760308455256697,5.184483163878767,8.290343419986588,0.020815098891738167,16,25,0.3444105254887462,177,41
3,COMPLETE,0.6353059347553371,0.8866849375564307,5,0.810780095170704,2.692968310091355,9.023513379183033,0.04379241293428141,11,81,0.9396328764080386,120,128
4,COMPLETE,0.6357501091181446,0.7654289520729912,4,0.8399229145927409,8.127697880960334,2.899293409139591,0.017729612567671752,2,55,0.10325894459039209,320,78
5,COMPLETE,0.6007075275358812,0.7816514724782767,6,0.8047459532380333,9.117576203313432,7.096657343574102,0.0645656222844966,11,15,0.7008272140643229,807,99
6,COMPLETE,0.6342668653870045,0.9473006219967116,6,0.7013039805369017,8.69773397278588,7.106339208726107,0.07183485875384556,17,80,0.24557895257399154,297,33
7,COMPLETE,0.6343884542786472,0.5407095256846088,4,0.8991465688443419,6.605226404385847,3.261714847906531,0.05348101678571674,14,5,0.5289750023249522,173,56
8,COMPLETE,0.6407248619815866,0.5478181456145572,2,0.6504844692055276,4.680128350395515,1.2303404662107003,0.07416386461505418,3,86,0.38474307225119353,442,119
9,COMPLETE,0.6329963173751494,0.7898588269503857,4,0.40296769267976695,1.6675528525159131,4.117053208458183,0.04333473003177612,18,15,0.566511592745439,640,49
10,COMPLETE,0.5944767585996857,0.6486953194236829,2,0.4077664724631393,6.371853221442782,5.912139685120886,0.09814051070895614,32,37,0.02235298418862386,974,75
11,COMPLETE,0.6398077280137691,0.5965304789137607,2,0.5337422744823089,4.0993996917248605,1.1193747676039294,0.01176610772336677,4,93,0.3052094502921564,339,148
12,COMPLETE,0.6411146737462502,0.4274424030583505,2,0.5415989766763817,3.5579783884226543,5.049397325699038,0.029627749172693972,5,61,0.37679436567774405,477,105
13,COMPLETE,0.6324650478286553,0.4164794673159263,1,0.5157902962340722,2.971978443966746,5.318721036624037,0.025374157563692493,7,62,0.40068736136442673,674,100
14,COMPLETE,0.6409525111662305,0.41668737206016,3,0.4785903261323763,6.160826197190609,5.518452328821076,0.031669542258283896,6,37,0.1913064796103714,197,52
15,COMPLETE,0.6344884203022021,0.4195848906384592,3,0.6067571719276392,6.904269612754192,5.067056092329836,0.03681319307568619,6,63,0.22099736008714277,488,65
16,COMPLETE,0.6390604191159843,0.48771317885978116,3,0.505422267138067,3.4822346952260026,6.515331446005801,0.03255777455045187,6,41,0.13506866292672065,240,89
17,COMPLETE,0.6350709838785782,0.40224234545384147,3,0.5838608217908223,1.3116848773083376,4.29554669784266,0.05291932187191927,4,66,0.7809999533546047,774,24
18,COMPLETE,0.6220035163005918,0.6953882903371462,1,0.9945771263945322,6.067595233380264,2.5796548142175717,0.0296482248960789,9,49,0.4794234582547134,540,106
19,COMPLETE,0.6402535599035537,0.5010610904806432,3,0.7342202251410184,7.523453202366538,4.387192032100295,0.041610005540819825,4,72,0.003312572822864679,394,61
20,COMPLETE,0.6345262844340869,0.5702248690195711,5,0.4527621654087446,2.1958051617128422,6.197725465309643,0.011603195201633873,3,27,0.1485584183593698,233,86
21,COMPLETE,0.6416067092005235,0.6256982136504151,2,0.4649084484678481,5.448562503059145,9.67297893842455,0.02202862140969669,8,29,0.3663645796767688,183,44
22,COMPLETE,0.6423627987045798,0.45393459840059536,2,0.5545861878465556,5.49321667836641,9.589045505192647,0.025100007214674796,8,28,0.4454339919930702,138,46
23,COMPLETE,0.6395802895922538,0.6793427197470069,2,0.5499321565782254,4.093872744141827,9.805767953539121,0.022067666327624275,8,48,0.4608598153567631,113,69
24,COMPLETE,0.6413011848260035,0.4934997092332724,1,0.6384620873712492,5.61816464075674,9.95453299168162,0.02738179685093447,5,27,0.29963619672315417,279,43
25,COMPLETE,0.637140029436536,0.5201231423218848,1,0.6218861757988161,5.582779413500804,9.991282630663537,0.015685756324671625,10,26,0.28867135405733274,100,20
26,COMPLETE,0.6410735249245905,0.46870175722740354,1,0.7283346792339116,7.506810853331325,9.03915171788262,0.03818134259514094,3,22,0.44697823563902506,271,43
27,COMPLETE,0.64166493698011,0.5998613765197892,1,0.456718458240287,5.6523063040759025,7.691853441877989,0.048292471033582376,5,31,0.5990198005416082,374,34
28,COMPLETE,0.6392932659337139,0.603007498370386,2,0.44769896081540106,9.941889052641171,7.587782076809189,0.04851448709146387,13,17,0.6482217488854233,384,31
29,COMPLETE,0.6372598304138425,0.7305950172210849,1,0.43588049254578765,4.79735781662338,7.96710313891505,0.0923321226227537,8,33,0.8455361556447639,174,32
30,COMPLETE,0.6398753936948074,0.6443423356160961,1,0.49098139327467955,7.032042937682478,9.164256047637553,0.060938848534644416,2,33,0.5920706003067568,390,58
