Number,State,Value,Param bagging_fraction,Param bagging_freq,Param feature_fraction,Param lambda_l1,Param learning_rate,Param max_depth,Param min_child_samples,Param min_gain_to_split,Param n_estimators,Param num_leaves
0,COMPLETE,0.6419619165172821,0.8941114847092374,5,0.4351521275048569,4.141770880460109,0.009148803225933026,14,52,0.1090295018759746,623,38
1,COMPLETE,0.6399962895687056,0.803835418604505,6,0.5464392976950618,4.800399907786571,0.0023278207500838062,18,27,0.09800810651634839,703,32
2,COMPLETE,0.6426356476496596,0.7081142666911502,5,0.6654489055369049,2.3855109882548104,0.012097928800646904,11,45,0.7284669360068194,746,13
3,COMPLETE,0.6432316429101613,0.8335270040823707,6,0.6239320617134497,8.38131509118788,0.012622813977726327,20,15,0.4007573063161274,750,37
4,COMPLETE,0.6426720167922344,0.7853061410899692,5,0.5360452567214004,1.6279923349717407,0.01649992359720379,18,55,0.14645140132170242,1104,16
5,COMPLETE,0.6430879488958141,0.8632440234911085,7,0.5121368386989166,1.5899199449461294,0.009794839196075593,21,94,0.7119615365727378,694,31
6,COMPLETE,0.6423664495506372,0.7941475305696051,5,0.45928157005666914,2.0602330948132987,0.012952179461185463,9,13,0.3422510412156107,1057,12
7,COMPLETE,0.6429601442780069,0.8180358335933896,5,0.4970298836667121,0.6477371162227269,0.014012973130919978,17,36,0.8191537177800343,831,32
8,COMPLETE,0.6435984386267344,0.7576769467112625,7,0.5720734028524483,8.505513024122394,0.013292842426799893,10,82,0.05099057220446024,940,36
9,COMPLETE,0.6424236878151963,0.8897940931429139,7,0.5033279317327696,9.356134245526537,0.004267858955996859,19,51,0.6195215862293886,1062,38
10,COMPLETE,0.644433907240618,0.7417276381060204,7,0.5974183508769177,7.1846841057875235,0.018435344477854797,8,89,0.001365850075368713,942,23
11,COMPLETE,0.6434069978331263,0.7367727630395194,7,0.6188208938542248,7.507713123481151,0.01964356751790579,8,89,0.9978198595113258,938,21
12,COMPLETE,0.642927961819952,0.7558175176724465,7,0.5970530658423683,6.5113278605826945,0.019889275550779954,10,75,0.008564755442419698,914,25
13,COMPLETE,0.6432891312326694,0.7586125065469034,6,0.6955707405512339,9.938664528212957,0.016138403262800333,8,74,0.25811913296330524,986,22
14,COMPLETE,0.6432535837090704,0.7006074826880585,7,0.5846855912544603,6.293952700538262,0.006344806266166828,12,75,0.007649236308331744,1190,28
15,COMPLETE,0.6445561927222621,0.7309640062157455,7,0.5766397987579863,7.984062280672306,0.016716224375406638,9,100,0.23540741882318,865,17
16,COMPLETE,0.6439839243888776,0.7290332775515626,6,0.6513812831335756,6.453558973923491,0.017247291249890658,14,99,0.24590007648872136,827,18
17,COMPLETE,0.6428653223036915,0.7313045729896237,7,0.40435301876955626,7.643653377470741,0.01803705792410876,9,65,0.4998675150895452,842,10
18,COMPLETE,0.6432490469434218,0.7668410450831695,6,0.5654721304504978,3.9337152932012343,0.015089798219815594,9,100,0.22680405309886542,1002,18
19,COMPLETE,0.6433559645779626,0.7192753913087155,7,0.6157684373720943,5.643901082051946,0.007867411425856848,8,88,0.3633179997322913,870,24
20,COMPLETE,0.6431812705224346,0.7726502028608284,6,0.6648756324248962,7.336694927031408,0.017597137307118822,11,64,0.18583125830955471,792,28
21,COMPLETE,0.6438400088946328,0.7264873700329717,6,0.6542752097042209,6.469229344616765,0.018656732522282688,14,100,0.30272911248886314,875,17
22,COMPLETE,0.6437340521970678,0.7368022946794885,6,0.6434805519739873,8.891584159754885,0.016539748611772074,15,92,0.4794608033863619,808,20
23,COMPLETE,0.6442658968768449,0.7440476783557187,6,0.6951885394886554,5.449568367633141,0.014608915298465072,13,82,0.20546535968007473,980,15
24,COMPLETE,0.6441525206027031,0.7442534865263519,7,0.6859139043733324,5.16052329981699,0.014902084761641506,12,66,0.15447939603447247,997,14
25,COMPLETE,0.643058613526123,0.7789068864985597,6,0.5311257018989651,7.91829832215895,0.010752575166493023,11,80,0.42699069118672167,948,15
26,COMPLETE,0.643372561281273,0.7459666611112663,7,0.6034437341973795,3.142598330704947,0.015497137187244816,10,84,0.08530095230694543,1043,10
27,COMPLETE,0.6438661863896517,0.7125445839293925,7,0.47647105192985795,5.693609319695583,0.011178453731203271,13,92,0.29954392423134163,1122,19
28,COMPLETE,0.6429329736957042,0.8121607990676029,6,0.5659070739971392,7.123877130921334,0.018490406062795093,16,72,0.18783440847468558,901,23
29,COMPLETE,0.6439823668850801,0.8379427370246604,7,0.6370620157899913,4.216646147609818,0.014095324726847516,9,84,0.10918471818528226,621,27
30,COMPLETE,0.6434731595942134,0.7163790639043878,6,0.6849092644181997,9.438296995091784,0.007854494024159763,13,60,0.6029243883078552,1018,21
31,COMPLETE,0.6438948716086749,0.7494369976305547,7,0.6989393905829374,5.19960867214766,0.014192889395031758,12,80,0.15734830865052588,972,14
32,COMPLETE,0.643947916044201,0.7417993209371574,7,0.6784828215665405,4.870830610573575,0.014884431802181327,14,67,0.06234488614475151,880,12
