number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_units,params_learning_rate,params_num_layers,state
0,0.6362538633595918,2024-09-25 17:00:23.133458,2024-09-25 17:02:09.281670,0 days 00:01:46.148212,75,0.04774126499456277,219,0.00015383780531845882,1,COMPLETE
1,0.6353941176911027,2024-09-25 17:02:09.282670,2024-09-25 17:04:33.241920,0 days 00:02:23.959250,84,0.3384282581289686,220,4.424892429423061e-05,1,COMPLETE
2,0.6299728613536697,2024-09-25 17:04:33.242920,2024-09-25 17:05:01.083823,0 days 00:00:27.840903,138,0.44716572911099167,38,0.004419232144864721,3,COMPLETE
3,0.6336198493742364,2024-09-25 17:05:01.083823,2024-09-25 17:06:56.179816,0 days 00:01:55.095993,135,0.2639063411978712,219,3.839732724397628e-05,2,COMPLETE
4,0.6337400004326718,2024-09-25 17:06:56.180818,2024-09-25 17:08:12.144985,0 days 00:01:15.964167,92,0.17011333802095796,155,0.001973941633544467,1,COMPLETE
5,0.6338331630938816,2024-09-25 17:08:12.145985,2024-09-25 17:09:20.241704,0 days 00:01:08.095719,78,0.23008975463041592,217,0.0065139323801090806,1,COMPLETE
6,0.611945390701294,2024-09-25 17:09:20.242705,2024-09-25 17:09:24.277617,0 days 00:00:04.034912,212,0.4981311989384082,67,0.00015511876467672408,3,PRUNED
7,0.6339122778567341,2024-09-25 17:09:24.277617,2024-09-25 17:10:13.351126,0 days 00:00:49.073509,184,0.38668234117570777,126,0.0008271476453193042,2,COMPLETE
8,0.6190881729125977,2024-09-25 17:10:13.352125,2024-09-25 17:10:20.202676,0 days 00:00:06.850551,104,0.32421611274951606,239,5.3708822540534255e-05,2,PRUNED
9,0.6073930263519287,2024-09-25 17:10:20.203678,2024-09-25 17:10:24.220588,0 days 00:00:04.016910,181,0.02659384018094485,56,0.00012642496192956645,3,PRUNED
10,0.5825331211090088,2024-09-25 17:10:24.221589,2024-09-25 17:10:34.744970,0 days 00:00:10.523381,32,0.03256409311961267,167,1.4705908585366902e-05,1,PRUNED
11,0.6378647205928208,2024-09-25 17:10:34.745970,2024-09-25 17:14:08.700170,0 days 00:03:33.954200,45,0.1186470181495406,256,0.00047649432345745504,1,COMPLETE
12,0.6338643864010884,2024-09-25 17:14:08.701170,2024-09-25 17:16:07.625619,0 days 00:01:58.924449,36,0.09704815134847006,255,0.00048360943019280274,1,COMPLETE
13,0.6201213002204895,2024-09-25 17:16:07.626619,2024-09-25 17:16:14.650208,0 days 00:00:07.023589,55,0.13075076036127,174,0.00021441529565647426,1,PRUNED
14,0.6329713490889275,2024-09-25 17:16:14.651208,2024-09-25 17:17:01.317208,0 days 00:00:46.666000,113,0.0033410469555206213,186,0.001256450215675755,2,COMPLETE
15,0.6104444265365601,2024-09-25 17:17:01.317208,2024-09-25 17:17:03.792770,0 days 00:00:02.475562,255,0.08503071355930625,121,0.0004221098171573875,1,PRUNED
16,0.6342138906104783,2024-09-25 17:17:03.792770,2024-09-25 17:18:55.965047,0 days 00:01:52.172277,51,0.18701244264811118,193,8.666937544309689e-05,2,COMPLETE
17,0.5643265247344971,2024-09-25 17:18:55.966048,2024-09-25 17:19:01.532313,0 days 00:00:05.566265,76,0.08229717116539012,242,1.165105348212338e-05,1,PRUNED
18,0.6205247640609741,2024-09-25 17:19:01.533313,2024-09-25 17:19:11.197501,0 days 00:00:09.664188,63,0.16672029689075715,200,0.002614993696052727,2,PRUNED
19,0.6205981373786926,2024-09-25 17:19:11.198501,2024-09-25 17:19:15.888560,0 days 00:00:04.690059,114,0.25434133575199475,255,0.0003229604857741715,1,PRUNED
20,0.6198565363883972,2024-09-25 17:19:15.889560,2024-09-25 17:19:19.351344,0 days 00:00:03.461784,161,0.05997259373755781,91,0.000692937277092131,1,PRUNED
21,0.5829352140426636,2024-09-25 17:19:19.351344,2024-09-25 17:19:25.096644,0 days 00:00:05.745300,82,0.3294916621140331,228,2.768220266621106e-05,1,PRUNED
22,0.6048564910888672,2024-09-25 17:19:25.097644,2024-09-25 17:19:33.855626,0 days 00:00:08.757982,57,0.3236636702316778,211,7.618661617234057e-05,1,PRUNED
23,0.5721085667610168,2024-09-25 17:19:33.856626,2024-09-25 17:19:39.406882,0 days 00:00:05.550256,98,0.38001152916372755,233,2.4212412772856092e-05,1,PRUNED
24,0.6271044611930847,2024-09-25 17:19:39.407882,2024-09-25 17:20:06.279963,0 days 00:00:26.872081,69,0.12321656799448491,202,0.00022100784198516844,2,PRUNED
25,0.5992428064346313,2024-09-25 17:20:06.280962,2024-09-25 17:20:10.458909,0 days 00:00:04.177947,124,0.21543843773698013,138,9.88330473076862e-05,1,PRUNED
26,0.6006938219070435,2024-09-25 17:20:10.459909,2024-09-25 17:20:19.945054,0 days 00:00:09.485145,44,0.2917107858449983,179,5.0927013391517416e-05,1,PRUNED
27,0.6260740756988525,2024-09-25 17:20:19.946054,2024-09-25 17:20:37.156948,0 days 00:00:17.210894,87,0.1274348376051617,253,0.00020874025481148716,2,PRUNED
28,0.5726151466369629,2024-09-25 17:20:37.156948,2024-09-25 17:20:44.903702,0 days 00:00:07.746754,63,0.3883389281574772,227,1.993850951026213e-05,1,PRUNED
29,0.6284415125846863,2024-09-25 17:20:44.904703,2024-09-25 17:21:07.074717,0 days 00:00:22.170014,145,0.4383801751355819,211,0.0009504045962341137,3,PRUNED
30,0.6365027478225025,2024-09-25 17:21:07.075718,2024-09-25 17:22:24.461227,0 days 00:01:17.385509,48,0.050741881935409336,157,0.0004577572863962496,1,COMPLETE
31,0.6375732494750427,2024-09-25 17:22:24.462228,2024-09-25 17:25:12.598479,0 days 00:02:48.136251,42,0.050226050236631285,104,0.0004741113149120183,1,COMPLETE
32,0.6262648105621338,2024-09-25 17:25:12.598479,2024-09-25 17:25:32.406861,0 days 00:00:19.808382,32,0.050534353590488724,99,0.0005107241881681502,1,PRUNED
33,0.6275345087051392,2024-09-25 17:25:32.407861,2024-09-25 17:25:52.294186,0 days 00:00:19.886325,50,0.0029658083122246354,108,0.0017809097798744183,1,PRUNED
34,0.621841311454773,2024-09-25 17:25:52.294186,2024-09-25 17:26:00.624657,0 days 00:00:08.330471,43,0.07177410185834436,157,0.0003041614137021344,1,PRUNED
35,0.6369123713212511,2024-09-25 17:26:00.624657,2024-09-25 17:26:55.939629,0 days 00:00:55.314972,70,0.03453665642446553,83,0.0012703237346633248,1,COMPLETE
36,0.6295558214187622,2024-09-25 17:26:55.940629,2024-09-25 17:27:21.742930,0 days 00:00:25.802301,64,0.10539559668893186,77,0.0028023444351143517,1,PRUNED
37,0.6340986013930257,2024-09-25 17:27:21.742930,2024-09-25 17:28:28.882581,0 days 00:01:07.139651,71,0.14980642949670997,32,0.0013151188252909498,1,COMPLETE
38,0.6384581902680361,2024-09-25 17:28:28.883582,2024-09-25 17:31:39.091926,0 days 00:03:10.208344,44,0.03373005117587959,47,0.0006533919565353388,1,COMPLETE
39,0.6262506246566772,2024-09-25 17:31:39.092926,2024-09-25 17:31:51.984378,0 days 00:00:12.891452,91,0.020889716696507334,50,0.0037365691329849307,2,PRUNED
40,0.621326208114624,2024-09-25 17:31:51.985378,2024-09-25 17:31:59.708125,0 days 00:00:07.722747,44,0.10627732786115754,78,0.0006936705049411741,1,PRUNED
41,0.6254827976226807,2024-09-25 17:31:59.709125,2024-09-25 17:32:19.422163,0 days 00:00:19.713038,46,0.05007355129585636,48,0.009392960476410646,1,PRUNED
42,0.6285166144371033,2024-09-25 17:32:19.423162,2024-09-25 17:33:05.418842,0 days 00:00:45.995680,32,0.035980222106386635,64,0.0010985914561211227,1,PRUNED
43,0.6291722655296326,2024-09-25 17:33:05.418842,2024-09-25 17:33:22.816183,0 days 00:00:17.397341,58,0.0686758066985423,114,0.0005855536671152295,1,PRUNED
44,0.617917537689209,2024-09-25 17:33:22.817183,2024-09-25 17:33:27.794309,0 days 00:00:04.977126,82,0.021422142674271644,92,0.000305351976793823,1,PRUNED
45,0.626323938369751,2024-09-25 17:33:27.795309,2024-09-25 17:33:38.349222,0 days 00:00:10.553913,71,0.05439818013660754,143,0.0016168626720977639,1,PRUNED
46,0.6216704845428467,2024-09-25 17:33:38.349222,2024-09-25 17:33:46.276877,0 days 00:00:07.927655,42,0.0048554697747574815,77,0.00040816235653153834,1,PRUNED
47,0.6219759583473206,2024-09-25 17:33:46.277878,2024-09-25 17:33:49.895696,0 days 00:00:03.617818,225,0.10327455723768857,41,0.0007819011097535715,2,PRUNED
48,0.6345701981822129,2024-09-25 17:33:49.896697,2024-09-25 17:36:22.721029,0 days 00:02:32.824332,54,0.1929714836449371,63,0.00016772126138722362,3,COMPLETE
49,0.6279832124710083,2024-09-25 17:36:22.722028,2024-09-25 17:36:40.322586,0 days 00:00:17.600558,38,0.14841470706395163,137,0.00037429171627819963,1,PRUNED
