Number,State,Value,Param max_depth,Param max_features,Param min_samples_leaf,Param min_samples_split,Param n_estimators
0,COMPLETE,0.6169619658144205,2,sqrt,11,19,481
1,COMPLETE,0.6028564362444109,2,,5,13,750
2,COMPLETE,0.6168076943488247,4,,8,15,623
3,COMPLETE,0.6024430797377072,2,,9,16,275
4,COMPLETE,0.6325168991305385,17,log2,18,10,101
5,COMPLETE,0.6243139481552424,4,log2,2,20,529
6,COMPLETE,0.6028959293252216,2,,5,12,617
7,COMPLETE,0.6214829474481929,3,log2,12,15,613
8,COMPLETE,0.6212185165253583,3,log2,7,18,536
9,COMPLETE,0.6172908545320317,2,sqrt,12,2,605
10,COMPLETE,0.6309455528394023,23,log2,20,7,129
11,COMPLETE,0.6290495313070981,25,log2,18,8,128
12,COMPLETE,0.6310094462176649,21,log2,20,8,173
13,COMPLETE,0.6349114719128196,15,log2,16,9,315
14,COMPLETE,0.6362076115696412,12,log2,15,5,321
15,COMPLETE,0.6364067184255185,11,log2,15,4,330
16,COMPLETE,0.6351428219551107,10,sqrt,15,4,962
17,COMPLETE,0.6321378184241497,8,log2,14,5,344
18,COMPLETE,0.635760322199239,11,log2,14,2,410
19,COMPLETE,0.6283536736184777,6,sqrt,17,5,239
20,COMPLETE,0.6359005011132722,13,log2,13,6,408
21,COMPLETE,0.6356755382654534,14,log2,13,6,372
22,COMPLETE,0.6309925494448156,7,log2,10,3,440
23,COMPLETE,0.6298346418222807,32,log2,16,6,227
24,COMPLETE,0.6349378458819414,10,log2,14,4,326
25,COMPLETE,0.6357913258126762,12,log2,18,10,451
26,COMPLETE,0.6324486833220122,8,log2,12,7,742
27,COMPLETE,0.6309729841964233,18,log2,16,4,249
28,COMPLETE,0.6285281247605695,6,sqrt,11,2,382
29,COMPLETE,0.6287286748080391,14,,10,5,458
30,COMPLETE,0.6343766872660119,9,sqrt,14,7,506
31,COMPLETE,0.6358847581792455,12,log2,18,11,460
32,COMPLETE,0.6354695655327438,14,log2,19,12,306
33,COMPLETE,0.6359362379664613,12,log2,17,14,402
34,COMPLETE,0.6222310154504662,18,,15,14,400
35,COMPLETE,0.6259986349979563,5,log2,17,17,175
36,COMPLETE,0.6335236217170213,9,log2,13,13,286
37,COMPLETE,0.6251570471088315,16,,15,16,565
38,COMPLETE,0.6364068970383394,12,log2,8,3,680
39,COMPLETE,0.6356143097904775,11,log2,7,3,704
40,COMPLETE,0.6162186114044886,19,,4,3,876
41,COMPLETE,0.6356859835432149,13,log2,8,6,708
42,COMPLETE,0.6340380766525637,9,log2,6,4,654
43,COMPLETE,0.6359179372968404,12,log2,13,3,828
44,COMPLETE,0.630997614904414,7,log2,9,2,845
45,COMPLETE,0.6284555329379331,27,log2,11,3,855
